age,workclassIndex,fnlwgt,educationIndex,maritial_statusIndex,occupationIndex,relationshipIndex,raceIndex,sexIndex,native_countryIndex
39,4.0,77516,13.0,5.0,11.0,4.0,4.0,1.0,41.0
50,7.0,83311,13.0,6.0,12.0,5.0,4.0,1.0,41.0
38,8.0,215646,15.0,4.0,5.0,4.0,4.0,1.0,41.0
53,8.0,234721,10.0,6.0,5.0,5.0,3.0,1.0,41.0
28,8.0,338409,13.0,6.0,14.0,1.0,3.0,0.0,32.0
37,8.0,284582,12.0,6.0,12.0,1.0,4.0,0.0,41.0
49,8.0,160187,5.0,1.0,9.0,4.0,3.0,0.0,30.0
52,7.0,209642,15.0,6.0,12.0,5.0,4.0,1.0,41.0
31,8.0,45781,12.0,5.0,14.0,4.0,4.0,0.0,41.0
42,8.0,159449,13.0,6.0,12.0,5.0,4.0,1.0,41.0
37,8.0,280464,14.0,6.0,12.0,5.0,3.0,1.0,41.0
30,4.0,141297,13.0,6.0,14.0,5.0,2.0,1.0,33.0
23,8.0,122272,13.0,5.0,11.0,3.0,4.0,0.0,41.0
32,8.0,205019,9.0,5.0,10.0,4.0,3.0,1.0,41.0
40,8.0,121772,11.0,6.0,13.0,5.0,2.0,1.0,39.0
34,8.0,245487,7.0,6.0,6.0,5.0,1.0,1.0,40.0
25,7.0,176756,15.0,5.0,4.0,3.0,4.0,1.0,41.0
32,8.0,186824,15.0,5.0,8.0,2.0,4.0,1.0,41.0
38,8.0,28887,10.0,6.0,10.0,5.0,4.0,1.0,41.0
43,7.0,292175,12.0,4.0,12.0,2.0,4.0,0.0,41.0
40,8.0,193524,3.0,6.0,14.0,5.0,4.0,1.0,41.0
54,8.0,302146,15.0,3.0,9.0,2.0,3.0,0.0,41.0
35,2.0,76845,5.0,6.0,4.0,5.0,3.0,1.0,41.0
43,8.0,117037,10.0,6.0,6.0,5.0,4.0,1.0,41.0
59,8.0,109015,15.0,4.0,3.0,2.0,4.0,0.0,41.0
56,6.0,216851,13.0,6.0,3.0,5.0,4.0,1.0,41.0
19,8.0,168294,15.0,5.0,13.0,3.0,4.0,1.0,41.0
54,5.0,180211,14.0,6.0,7.0,5.0,2.0,1.0,29.0
39,8.0,367260,15.0,4.0,12.0,4.0,4.0,1.0,41.0
49,8.0,193366,15.0,6.0,13.0,5.0,4.0,1.0,41.0
23,6.0,190709,9.0,5.0,2.0,4.0,4.0,1.0,41.0
20,8.0,266015,14.0,5.0,10.0,3.0,3.0,1.0,41.0
