id	name	air_date	episode	characters
1	Pilot	December 2, 2013	S01E01	1,2,35,38,62,92,127,144,158,175,179,181,239,249,271,338,394,395,435
2	Lawnmower Dog	December 9, 2013	S01E02	1,2,38,46,63,80,175,221,239,246,304,305,306,329,338,396,397,398,405
3	Anatomy Park	December 16, 2013	S01E03	1,2,12,17,38,45,96,97,98,99,100,101,108,112,114,169,175,186,201,268,300,302,338,356
4	M. Night Shaym-Aliens!	January 13, 2014	S01E04	1,2,38,87,175,179,181,191,239,241,270,337,338
5	Meeseeks and Destroy	January 20, 2014	S01E05	1,2,38,41,89,116,117,120,175,193,238,242,271,303,326,333,338,343,399,400
6	Rick Potion #9	January 27, 2014	S01E06	1,2,3,4,5,38,58,82,83,92,155,175,179,181,216,234,239,249,251,271,293,338,343,394
7	Raising Gazorpazorp	March 10, 2014	S01E07	1,2,3,4,5,59,151,168,211,230,258,329,376,401
8	Rixty Minutes	March 17, 2014	S01E08	1,2,3,4,5,20,28,29,34,37,54,88,91,129,134,136,145,153,157,176,183,184,195,207,214,222,250,266,277,279,314,315,316,317,318,351,358,367,370,373,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418
9	Something Ricked This Way Comes	March 24, 2014	S01E09	1,2,3,4,5,88,192,240,243,251,272,307,419,420,421,422
10	Close Rick-counters of the Rick Kind	April 7, 2014	S01E10	1,2,3,4,5,7,14,15,18,19,21,22,27,39,53,77,78,79,82,83,84,85,86,103,113,118,119,152,164,177,209,215,232,242,274,285,290,294,295,298,299,329,330,339,349,359,381,389,405,424,425,426,427,428,429,430,431,432,433,434
11	Ricksy Business	April 14, 2014	S01E11	1,2,3,4,5,7,47,58,88,180,181,210,216,251,282,295,308,326,327,331,333,344,362,389,395,405,423,435,436,35
12	A Rickle in Time	July 26, 2015	S02E01	1,2,3,4,5,11,64,237,313,437,438,439,440
13	Mortynight Run	August 2, 2015	S02E02	1,2,5,23,28,34,106,122,129,131,133,136,174,180,196,207,242,257,282,309,311,362,393,436,441,442,443,444,445,446,447,448,449,450,451,386
14	Auto Erotic Assimilation	August 9, 2015	S02E03	1,2,3,4,5,36,50,90,188,249,301,336,355,372
15	Total Rickall	August 16, 2015	S02E04	1,2,3,4,5,16,31,32,76,109,128,141,154,169,236,244,248,259,262,280,324,329,352,391
16	Get Schwifty	August 23, 2015	S02E05	1,2,3,4,5,24,47,115,124,138,161,162,172,182,199,212,213,240,241,253,255,272,309,329,331,344,346,347,395,452,454
17	The Ricks Must Be Crazy	August 30, 2015	S02E06	1,2,3,28,34,65,129,159,160,180,181,197,207,240,266,348,364,388
18	Big Trouble in Little Sanchez	September 13, 2015	S02E07	1,2,3,4,5,40,55,66,131,132,146,148,163,178,180,181,240,272,310,353,354,358,374,386,387,453
19	Interdimensional Cable 2: Tempting Fate	September 20, 2015	S02E08	1,2,3,4,5,23,49,51,105,121,126,133,153,173,199,205,223,224,225,254,260,263,264,275,312,321,334,362,371,383,384,454,455,456,35,435,457,458,459,460
20	Look Who's Purging Now	September 27, 2015	S02E09	1,2,3,4,5,26,139,202,273,341
21	The Wedding Squanchers	October 4, 2015	S02E10	1,2,3,4,5,23,47,75,102,130,131,133,194,199,203,240,244,256,261,308,311,331,344,358,362,379,55,309,454
22	The Rickshank Rickdemption	April 1, 2017	S03E01	1,2,3,4,5,21,22,38,42,47,48,57,69,71,86,94,95,103,150,152,175,200,215,231,240,274,285,286,294,295,330,338,344,378,380,385,389,461,462,463,464,465,466
23	Rickmancing the Stone	July 30, 2017	S03E02	1,2,3,4,5,25,52,68,110,111,140,156,217,218,219,228,323,342
24	Pickle Rick	August 6, 2017	S03E03	1,2,3,4,9,70,107,167,171,189,240,265,272,276,329
25	Vindicators 3: The Return of Worldender	August 13, 2017	S03E04	1,2,3,4,10,23,60,81,93,104,181,198,208,226,251,252,282,311,333,340,362,375,382,395,88,309,35,435,216,125
26	The Whirly Dirly Conspiracy	August 20, 2017	S03E05	1,2,3,4,5,23,47,115,137,142,180,204,296,297,319,320,365,369,467,468,469
27	Rest and Ricklaxation	August 27, 2017	S03E06	1,2,3,4,6,124,170,180,181,227,240,246,272,332,360,361,365,470,471
28	The Ricklantis Mixup	September 10, 2017	S03E07	1,2,4,8,18,22,27,43,44,48,56,61,72,73,74,78,85,86,118,123,135,143,165,180,187,206,220,229,233,235,267,278,281,283,284,287,288,289,291,292,322,325,328,345,366,367,472,473,392,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489
29	Morty's Mind Blowers	September 17, 2017	S03E08	1,2,3,4,5,33,67,147,149,180,242,244,251,272,329,368,377,390,490,491
30	The ABC's of Beth	September 24, 2017	S03E09	1,2,3,4,5,58,180,185,190,240,244,245,249,329,350,357,363,492
31	The Rickchurian Mortydate	October 1, 2017	S03E10	1,2,3,4,5,13,30,166,244,247,269,335,347,493
